URL,Title,Localisation,Price,Chambre,Salle de bain,Type,Secteur,Salons,Surface habitable,Age de bien,Etage,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_58_m%C2%B2_%C3%A0_Casablanca_55638953.htm,Appartement à vendre 58 m² à Casablanca,casablanca,400000.0,2,2,Vendre,ain sebaa,2.0,58.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/fnideq/appartements/Appartement_%C3%A0_vendre_%C3%A0_Fnideq_Vue_Sur_Mer_55638759.htm,Appartement à vendre à Fnideq Vue Sur Mer,fnideq,470000.0,2,1,Vendre,toute la ville,1.0,50.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/narjiss/appartements/Appartement_%C3%A0_vendre_84_m%C2%B2_%C3%A0_El_Jadida_55638433.htm,Appartement à vendre 84 m² à El Jadida,el jadida,660000.0,3,2,Vendre,narjiss,1.0,84.0,3.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hay_nahda/appartements/Appartement_%C3%A0_vendre_88_m%C2%B2_%C3%A0_Rabat_55638260.htm,Appartement à vendre 88 m² à Rabat,rabat,740000.0,2,2,Vendre,hay nahda,2.0,88.0,2.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/mers_sultan/appartements/Appartement_ensoleill%C3%A9_145m2_a_vendre_55638151.htm,Appartement ensoleillé 145m2 a vendre,casablanca,1800000.0,3,2,Vendre,mers sultan,3.0,145.0,3.0,6,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/taza/appartements/appartement__55637976.htm,appartement,taza,650000.0,2,1,Vendre,toute la ville,1.0,100.0,2.0,1,False,True,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_104_m%C2%B2_%C3%A0_Casablanca_55637741.htm,Appartement à vendre 104 m² à Casablanca,casablanca,1100000.0,2,2,Vendre,sidi maarouf,2.0,104.0,2.0,5,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/hay_chmaou/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Sal%C3%A9_55637689.htm,Appartement à vendre 69 m² à Salé,salé,1015077.6196868788,2,2,Vendre,hay chmaou,1.0,69.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/autre_secteur/appartements/appartement_55637604.htm,appartement,el jadida,1122516.2780967108,2,2,Vendre,autre secteur,1.0,50.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca__55157638.htm,Appartement à vendre 50 m² à Casablanca,casablanca,300000.0,2,1,Vendre,oulfa,2.0,50.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Casablanca_55637213.htm,Appartement à vendre 90 m² à Casablanca,casablanca,10900.0,3,2,Vendre,ain sebaa,3.0,90.0,3.0,3,True,True,False,False,False,False,False,False,True,False,True
https://www.avito.ma/fr/ahlane/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Tanger_55636896.htm,Appartement à vendre 80 m² à Tanger,tanger,100000.0,3,1,Vendre,ahlane,3.0,80.0,3.0,1,True,False,True,True,False,False,False,False,True,False,False
https://www.avito.ma/fr/tamaris/appartements/Appartement_%C3%A0_vendre_53_m%C2%B2_%C3%A0_Tamaris_55636727.htm,Appartement à vendre 53 m² à Tamaris,tamaris,560000.0,2,1,Vendre,toute la ville,1.0,53.0,2.0,3,True,False,False,False,False,False,False,False,False,False,False
